s_no,college_code,college_name,location,region,college_type
449,5912,"Pandian Saraswathi Yadav Engineering College, Thirumansolai Post, Sivagangai District 630 561 ",sivagangai,madurai,self financing colleges
450,5913,"R V S College of Engineering, N Paraipatti Post, Dindigul District 624005 ",dindigul,madurai,self financing colleges
451,5914,"SOLAMALAI COLLEGE OF ENGINEERIG, Veerapanjan, Madurai District 625020 ",madurai,madurai,self financing colleges
452,5915,"SACS-M A V M M Engineering College, Kidaripatty Post, Madurai District 625001 ",madurai,madurai,self financing colleges
453,5919,"St. Michael College of Engineering and Technology, Kalayarkoil, Sivagangai District 630551 ",sivagangai,madurai,self financing colleges
454,5921,"Syed Ammal Engineering College, Achuthan Vayal Post, Ramanathapuram District 623502 ",ramanathapuram,madurai,self financing colleges
455,5924,"Ganapathy Chettiar College of Engineering and Technology, Melakavanur Post, Paramakudi, Ramanathapuram District 623706 ",ramanathapuram,madurai,self financing colleges
456,5930,"SBM College of Engineering and Technology, Thamaraipady, T N Paraipatti Pirivu, Dindigul District 624005 ",dindigul,madurai,self financing colleges
457,5935,"Fatima Michael College of Engineering & Technology, Sengottai Village, Sivagangai Main Road, Madurai District 625020 ",madurai,madurai,self financing colleges
458,5942,"Ultra College of Engineering and Technology, Kodikulam, 1 Bit Village, Madurai-Chennai Highway, Madurai District 625104 ",madurai,madurai,self financing colleges
459,5986,"Velammal College of Engineering and Technology, Madurai District 625009 ",madurai,madurai,self financing colleges
460,5988,"Theni Kammavar Sangam College of Technology, Theni Main Road, Koduvillarpatti Post, Theni District 625534 ",theni,madurai,self financing colleges
461,5990,"Latha Mathavan Engineering College, Kidaripatti Post, Alagarkoil (Via), Melur Taluk, Madurai District 625301 ",madurai,madurai,self financing colleges
